Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-11.85,116.3333333333,1,1,2
-11.3333333333,117.2833333333,1,2,0
-12.5333333333,119.25,7,7,6
-12.6833333333,119.65,3,3,1
-12.2333333333,118,2,2,4
-13.6333333333,117.7666666667,5,19,6
-13.8333333333,117.7666666667,1,13,10
-13.7666666667,118.5333333333,5,0,0
-12.85,117.5833333333,0,8,8
-12.0333333333,117.1333333333,5,10,15
-11.35,117.05,1,0,0
-11.1166666667,117.7166666667,8,6,20
-11.2833333333,117.4833333333,2,3,5
-11.05,116.9666666667,9,3,3
-11.1,115.9166666667,3,3,0
-11.45,115.7,3,3,4
-11.3,115.9333333333,0,7,13
-11.2166666667,118.1,2,3,1
-11.5333333333,117.7666666667,4,6,2
-12.05,117.8666666667,4,2,6
-11.1666666667,117.1833333333,3,8,6
-11.1,116.5833333333,5,8,8
-11.05,116.1833333333,2,18,3
-11.0333333333,115.6,5,25,1
-11.2166666667,115.45,9,8,0
-11.25,116.9833333333,0,8,0
-11.2333333333,113.4333333333,4,1,1
-11.2833333333,114.6666666667,0,1,0
-11.5833333333,113.8666666667,0,2,0
-12.0333333333,113.5,0,0,3
-12.6,112.8333333333,3,16,8
-12.3666666667,112.95,2,5,9
-12.3166666667,112.8166666667,1,6,4
-12.1833333333,113.1666666667,0,3,0
-11.9833333333,116.7666666667,2,2,12
-12.5,115.0666666667,2,4,16
-12.4166666667,114.6333333333,1,4,3
-12.65,113.9,1,8,0
-12.6166666667,113.8333333333,1,13,0
-12.4666666667,113.8166666667,0,2,0
-11.4166666667,113.8666666667,1,0,0
-11.6833333333,114.6833333333,0,1,3
-12.2833333333,113.05,0,7,1
-12.4666666667,112.5,0,20,2
-12.8166666667,112.2166666667,1,7,0
-13.1666666667,111.3333333333,0,2,11
-12.8333333333,112.1333333333,1,3,5
-12.9,111.5833333333,1,15,1
-13.1666666667,112.9166666667,0,8,2
-13.4833333333,112.5833333333,1,10,3
-13.7833333333,112.3333333333,3,34,5
-13.8333333333,112.2333333333,0,39,8
-13.5,112.75,0,30,5
-13.6333333333,112.75,0,24,4
-13.7,113.0833333333,0,8,1
-12.2666666667,114.45,0,4,2
-13.6833333333,114.5333333333,0,4,6
-12.7,113.6833333333,0,5,4
-12.25,113.3333333333,3,4,11
-12.0833333333,112.7166666667,1,18,1
-11.6666666667,113.1333333333,0,1,1
-12.9833333333,118.0666666667,0,2,0
-12.1666666667,117.6666666667,0,1,0
-12.9666666667,116.8333333333,1,2,5
-12.4,115.95,0,2,14
-13.3333333333,112.5005555556,2,11,7
-13.75,112.4,4,13,2
-14.0333333333,112.7333333333,1,5,2
-14.0666666667,111.65,1,9,5
-13.3166666667,111.5333333333,3,8,13
-13.4833333333,111.75,2,12,6
-12.4833333333,111.9166666667,3,1,8
-14.1,114.35,0,6,11
-14.5666666667,115.2863888889,0,17,4
-14.8,115.1833333333,2,13,8
-13.9333333333,114.05,1,27,11
-14.6166666667,114.5,2,8,0
-14.05,113.5666666667,0,2,0
-14,113.1,0,3,0
-12.8,114.5833333333,0,6,4
-14.95,114.5333333333,1,3,1
-13.4166666667,112.5,1,8,7
-13.5666666667,112.2166666667,0,5,3
-13.7166666667,111.6166666667,3,4,6
-13.9166666667,111.9166666667,0,3,5
-12.6833333333,112.4,0,7,9
-12.8,112.75,1,2,2
-12.55,112.25,1,4,2
-11.9666666667,111.8333333333,0,5,2
-11.65,118.1333333333,1,10,0
-11.4333333333,117.8666666667,0,1,1
-11.95,117.8666666667,0,5,20
-12,117.6166666667,1,3,7
-12.6666666667,117.7666666667,0,6,5
-12.6,117.2666666667,0,4,0
-12.6166666667,116.8,2,8,10
-12.5,115.9,1,11,7
-13.05,115.5833333333,2,7,26
-12.6833333333,115.5333333333,1,10,1
-11.55,117.1666666667,5,0,38
-11.4833333333,117.2,0,4,6
-11.6333333333,118.35,0,1,9
-11.4666666667,118.6,0,1,9
-12.0666666667,118.3166666667,0,1,36
-12.25,118.0666666667,0,2,12
-12.55,117.8666666667,1,11,2
-12.2666666667,117.9,1,0,3
-11.4,120.3666666667,0,5,0
-13.1,113.5666666667,0,3,0
-13.4166666667,114.1,0,7,2
-13.2833333333,114.4666666667,3,15,2
-13.2666666667,114.3833333333,0,8,1
-12.9833333333,114.5666666667,2,2,0
-13.4833333333,114.5666666667,0,3,2
-11.8,114.6833333333,0,1,2
-12.8,120.3,0,13,0
-11.8333333333,116.7833333333,1,1,0
-13.2333333333,116.5166666667,0,11,12
-13.2,116.6166666667,0,1,2
-13.5,117.5166666667,1,4,10
-12.9166666667,117.0666666667,2,3,9
-12.4833333333,116.8833333333,1,4,23
-12.9,115.5,1,0,5
-13.2666666667,116.2666666667,0,0,1
-12.95,116.75,0,15,1
-12.8833333333,116.9166666667,0,11,5
-12.8333333333,117.0833333333,0,3,4
